embedding_model,classifier,repeat,seed,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
distilbert,KNN,3,44,0.9612711022840119,0.7431861804222649,0.8382766832647759,112913,2605,0.18275,106.11568
distilbert,MLP,3,44,0.9207100591715977,0.8959692898272553,0.9081712062256809,112913,2605,154.97166,0.42429
distilbert,CatBoost,3,44,0.8908901974367855,0.9873320537428023,0.9366351056081573,112913,2605,62.81095,0.13974
distilbert,XGBoost,3,44,0.9583176868193767,0.9796545105566219,0.9688686408504176,112913,2605,15.55539,0.3759
minilm,RandomForest,3,44,0.9953895804518211,0.8287907869481765,0.9044826141600335,112913,2605,230.6401,2.49424
minilm,LogisticRegression,3,44,0.3026219956300073,0.9570057581573896,0.4598358387900028,112913,2605,106.82312,0.01486
minilm,KNN,3,44,0.9612711022840119,0.7431861804222649,0.8382766832647759,112913,2605,0.18417,105.95951
minilm,MLP,3,44,0.8996212121212122,0.9117082533589251,0.9056244041944709,112913,2605,153.79304,0.42556
minilm,CatBoost,3,44,0.8904679376083189,0.9861804222648752,0.9358834244080145,112913,2605,64.72258,0.13514
minilm,XGBoost,3,44,0.956912701386287,0.9804222648752399,0.968524838832006,112913,2605,15.75223,0.38603
roberta,RandomForest,3,44,0.9954001839926403,0.8307101727447217,0.9056287926344424,112913,2605,228.64968,2.49165
roberta,LogisticRegression,3,44,0.30247512739626303,0.9570057581573896,0.45966626717064624,112913,2605,68.56549,0.01527
roberta,KNN,3,44,0.9612711022840119,0.7431861804222649,0.8382766832647759,112913,2605,0.18473,106.1088
roberta,MLP,3,44,0.9207100591715977,0.8959692898272553,0.9081712062256809,112913,2605,155.37707,0.42541
roberta,CatBoost,3,44,0.8908901974367855,0.9873320537428023,0.9366351056081573,112913,2605,62.84813,0.13595
roberta,XGBoost,3,44,0.9583176868193767,0.9796545105566219,0.9688686408504176,112913,2605,15.42925,0.38094
albert,RandomForest,4,45,0.9925685090571296,0.8203454894433782,0.898276586801177,112913,2605,226.70098,2.48614
albert,LogisticRegression,4,45,0.3043318649045521,0.9547024952015355,0.46153846153846156,112913,2605,67.31085,0.01521
albert,KNN,4,45,0.9613095238095238,0.7439539347408829,0.8387794849599653,112913,2605,0.18541,104.5062
albert,MLP,4,45,0.9177165354330709,0.8948176583493282,0.9061224489795918,112913,2605,129.67957,0.11129
albert,CatBoost,4,45,0.8953407510431154,0.9884836852207294,0.9396095602992155,112913,2605,64.93282,0.14168
albert,XGBoost,4,45,0.9662495259764884,0.9781190019193858,0.9721480351011065,112913,2605,15.2427,0.38148
bart,RandomForest,4,45,0.9925685090571296,0.8203454894433782,0.898276586801177,112913,2605,227.19207,2.51921
bart,LogisticRegression,4,45,0.3043318649045521,0.9547024952015355,0.46153846153846156,112913,2605,68.05004,0.01488
bart,KNN,4,45,0.9613095238095238,0.7439539347408829,0.8387794849599653,112913,2605,0.18478,106.06427
bart,MLP,4,45,0.9177165354330709,0.8948176583493282,0.9061224489795918,112913,2605,129.1986,0.11368
bart,CatBoost,4,45,0.8953407510431154,0.9884836852207294,0.9396095602992155,112913,2605,63.91539,0.13355
bart,XGBoost,4,45,0.9662495259764884,0.9781190019193858,0.9721480351011065,112913,2605,15.48498,0.37829
bert,RandomForest,4,45,0.9925685090571296,0.8203454894433782,0.898276586801177,112913,2605,227.868,2.48267
bert,LogisticRegression,4,45,0.3043318649045521,0.9547024952015355,0.46153846153846156,112913,2605,66.69526,0.01493
bert,KNN,4,45,0.9613095238095238,0.7439539347408829,0.8387794849599653,112913,2605,0.18778,105.0819
bert,MLP,4,45,0.9177165354330709,0.8948176583493282,0.9061224489795918,112913,2605,130.08545,0.11104
bert,CatBoost,4,45,0.8953407510431154,0.9884836852207294,0.9396095602992155,112913,2605,64.77734,0.13503
bert,XGBoost,4,45,0.9662495259764884,0.9781190019193858,0.9721480351011065,112913,2605,15.20167,0.38155
distilbert,RandomForest,4,45,0.9925685090571296,0.8203454894433782,0.898276586801177,112913,2605,227.54595,2.35447
distilbert,LogisticRegression,4,45,0.3043318649045521,0.9547024952015355,0.46153846153846156,112913,2605,67.95506,0.01494
distilbert,KNN,4,45,0.9613095238095238,0.7439539347408829,0.8387794849599653,112913,2605,0.18389,104.51916
distilbert,MLP,4,45,0.9177165354330709,0.8948176583493282,0.9061224489795918,112913,2605,130.28569,0.10978
distilbert,CatBoost,4,45,0.8953407510431154,0.9884836852207294,0.9396095602992155,112913,2605,63.66322,0.14508
distilbert,XGBoost,4,45,0.9662495259764884,0.9781190019193858,0.9721480351011065,112913,2605,15.1996,0.38194
minilm,RandomForest,4,45,0.9925857275254866,0.8222648752399232,0.8994331303800126,112913,2605,225.18519,2.4167
minilm,LogisticRegression,4,45,0.30444362835108335,0.9547024952015355,0.461666976053462,112913,2605,62.44647,0.01496
minilm,KNN,4,45,0.9613095238095238,0.7439539347408829,0.8387794849599653,112913,2605,0.18753,105.15816
minilm,MLP,4,45,0.9321965083231831,0.8813819577735125,0.9060773480662984,112913,2605,125.39466,0.11108
minilm,CatBoost,4,45,0.8763166836561332,0.9900191938579654,0.9297043979812545,112913,2605,62.25473,0.14079
minilm,XGBoost,4,45,0.9662878787878788,0.9792706333973129,0.9727359389895138,112913,2605,15.42958,0.38135
roberta,RandomForest,4,45,0.9925685090571296,0.8203454894433782,0.898276586801177,112913,2605,226.89248,2.44923
roberta,LogisticRegression,4,45,0.3043318649045521,0.9547024952015355,0.46153846153846156,112913,2605,67.30519,0.01489
roberta,KNN,4,45,0.9613095238095238,0.7439539347408829,0.8387794849599653,112913,2605,0.18567,105.17991
roberta,MLP,4,45,0.9177165354330709,0.8948176583493282,0.9061224489795918,112913,2605,128.73908,0.11154
roberta,CatBoost,4,45,0.8953407510431154,0.9884836852207294,0.9396095602992155,112913,2605,63.50166,0.14068
roberta,XGBoost,4,45,0.9662495259764884,0.9781190019193858,0.9721480351011065,112913,2605,15.26639,0.38755
albert,RandomForest,5,46,0.9953746530989824,0.8261036468330134,0.9028739249003567,112913,2605,222.43045,2.43714
albert,LogisticRegression,5,46,0.30396367652472694,0.9508637236084453,0.46066579877254976,112913,2605,101.64161,0.01532
albert,KNN,5,46,0.9659427443237907,0.7512476007677543,0.8451738285467502,112913,2605,0.18779,104.44433
albert,MLP,5,46,0.9084615384615384,0.9067178502879079,0.9075888568683957,112913,2605,169.88814,0.42659
albert,CatBoost,5,46,0.9039070749736009,0.9857965451055662,0.9430774880646345,112913,2605,64.15022,0.13813
albert,XGBoost,5,46,0.9580498866213152,0.9731285988483686,0.965530375166635,112913,2605,15.42533,0.38074
bart,RandomForest,5,46,0.9953746530989824,0.8261036468330134,0.9028739249003567,112913,2605,222.18918,2.55477
bart,LogisticRegression,5,46,0.30396367652472694,0.9508637236084453,0.46066579877254976,112913,2605,102.39038,0.01539
bart,KNN,5,46,0.9659427443237907,0.7512476007677543,0.8451738285467502,112913,2605,0.18669,105.99976
bart,MLP,5,46,0.9084615384615384,0.9067178502879079,0.9075888568683957,112913,2605,169.8861,0.45094
bart,CatBoost,5,46,0.9039070749736009,0.9857965451055662,0.9430774880646345,112913,2605,63.22106,0.131
bart,XGBoost,5,46,0.9580498866213152,0.9731285988483686,0.965530375166635,112913,2605,15.18108,0.38051
bert,RandomForest,5,46,0.9953746530989824,0.8261036468330134,0.9028739249003567,112913,2605,222.50967,2.44682
bert,LogisticRegression,5,46,0.30396367652472694,0.9508637236084453,0.46066579877254976,112913,2605,101.53285,0.01566
bert,KNN,5,46,0.9659427443237907,0.7512476007677543,0.8451738285467502,112913,2605,0.18855,113.29839
bert,MLP,5,46,0.9084615384615384,0.9067178502879079,0.9075888568683957,112913,2605,170.04767,0.42536
bert,CatBoost,5,46,0.9039070749736009,0.9857965451055662,0.9430774880646345,112913,2605,63.74004,0.13037
bert,XGBoost,5,46,0.9580498866213152,0.9731285988483686,0.965530375166635,112913,2605,15.18706,0.38102
distilbert,RandomForest,5,46,0.9953746530989824,0.8261036468330134,0.9028739249003567,112913,2605,226.05412,2.45317
distilbert,LogisticRegression,5,46,0.30396367652472694,0.9508637236084453,0.46066579877254976,112913,2605,100.77088,0.01495
distilbert,KNN,5,46,0.9659427443237907,0.7512476007677543,0.8451738285467502,112913,2605,0.18688,106.01671
distilbert,MLP,5,46,0.9084615384615384,0.9067178502879079,0.9075888568683957,112913,2605,170.99543,0.42516
distilbert,CatBoost,5,46,0.9039070749736009,0.9857965451055662,0.9430774880646345,112913,2605,62.8967,0.13243
distilbert,XGBoost,5,46,0.9580498866213152,0.9731285988483686,0.965530375166635,112913,2605,15.25993,0.37787
minilm,RandomForest,5,46,0.9940257352941176,0.8303262955854127,0.9048316251830161,112913,2605,226.73667,2.52406
minilm,LogisticRegression,5,46,0.304075619936165,0.9508637236084453,0.46079434471211983,112913,2605,104.69513,0.01503
minilm,KNN,5,46,0.9659427443237907,0.7512476007677543,0.8451738285467502,112913,2605,0.18613,105.87905
minilm,MLP,5,46,0.9059273422562142,0.909404990403071,0.9076628352490421,112913,2605,149.94581,0.44732
minilm,CatBoost,5,46,0.89190128606187,0.9850287907869482,0.9361546880700474,112913,2605,63.97256,0.14048
minilm,XGBoost,5,46,0.9580815709969789,0.9738963531669865,0.9659242337711784,112913,2605,15.58645,0.38173
roberta,RandomForest,5,46,0.9953746530989824,0.8261036468330134,0.9028739249003567,112913,2605,224.71067,2.59058
roberta,LogisticRegression,5,46,0.30396367652472694,0.9508637236084453,0.46066579877254976,112913,2605,100.4209,0.01486
roberta,KNN,5,46,0.9659427443237907,0.7512476007677543,0.8451738285467502,112913,2605,0.1853,105.87073
roberta,MLP,5,46,0.9084615384615384,0.9067178502879079,0.9075888568683957,112913,2605,171.07781,0.42651
roberta,CatBoost,5,46,0.9039070749736009,0.9857965451055662,0.9430774880646345,112913,2605,62.77197,0.13165
roberta,XGBoost,5,46,0.9580498866213152,0.9731285988483686,0.965530375166635,112913,2605,15.13542,0.37899
albert,RandomForest,6,47,0.993521517815826,0.8241842610364684,0.9009651699538397,112913,2605,225.37124,2.4731
albert,LogisticRegression,6,47,0.30394088669950736,0.9474088291746641,0.4602331002331002,112913,2605,81.14834,0.01497
albert,KNN,6,47,0.9662698412698413,0.7477927063339731,0.8431075524778187,112913,2605,0.18447,105.68797
albert,MLP,6,47,0.9086687306501547,0.9013435700575816,0.9049913278088264,112913,2605,133.03307,0.42302
albert,CatBoost,6,47,0.8821710752318791,0.9857965451055662,0.9311094996374184,112913,2605,63.70622,0.13266
albert,XGBoost,6,47,0.9703618167821401,0.9677543186180422,0.9690563136651932,112913,2605,15.5631,0.38188
bart,RandomForest,6,47,0.993521517815826,0.8241842610364684,0.9009651699538397,112913,2605,226.05828,2.69178
bart,LogisticRegression,6,47,0.30394088669950736,0.9474088291746641,0.4602331002331002,112913,2605,81.59738,0.01487
bart,KNN,6,47,0.9662698412698413,0.7477927063339731,0.8431075524778187,112913,2605,0.18396,106.11406
bart,MLP,6,47,0.9086687306501547,0.9013435700575816,0.9049913278088264,112913,2605,132.89064,0.44655
bart,CatBoost,6,47,0.8821710752318791,0.9857965451055662,0.9311094996374184,112913,2605,61.97467,0.13291
bart,XGBoost,6,47,0.9703618167821401,0.9677543186180422,0.9690563136651932,112913,2605,15.38143,0.38338
bert,RandomForest,6,47,0.993521517815826,0.8241842610364684,0.9009651699538397,112913,2605,225.59314,2.41646
bert,LogisticRegression,6,47,0.30394088669950736,0.9474088291746641,0.4602331002331002,112913,2605,82.02587,0.01486
bert,KNN,6,47,0.9662698412698413,0.7477927063339731,0.8431075524778187,112913,2605,0.18557,105.96855
bert,MLP,6,47,0.9086687306501547,0.9013435700575816,0.9049913278088264,112913,2605,133.44574,0.42152
bert,CatBoost,6,47,0.8821710752318791,0.9857965451055662,0.9311094996374184,112913,2605,61.88268,0.14247
bert,XGBoost,6,47,0.9703618167821401,0.9677543186180422,0.9690563136651932,112913,2605,15.28241,0.38294
distilbert,RandomForest,6,47,0.993521517815826,0.8241842610364684,0.9009651699538397,112913,2605,225.2307,2.43689
distilbert,LogisticRegression,6,47,0.30394088669950736,0.9474088291746641,0.4602331002331002,112913,2605,82.14279,0.01481
distilbert,KNN,6,47,0.9662698412698413,0.7477927063339731,0.8431075524778187,112913,2605,0.18425,104.49451
distilbert,MLP,6,47,0.9086687306501547,0.9013435700575816,0.9049913278088264,112913,2605,133.49384,0.44766
distilbert,CatBoost,6,47,0.8821710752318791,0.9857965451055662,0.9311094996374184,112913,2605,61.88475,0.13167
distilbert,XGBoost,6,47,0.9703618167821401,0.9677543186180422,0.9690563136651932,112913,2605,15.12469,0.38227
minilm,RandomForest,6,47,0.9921586715867159,0.8257197696737044,0.9013199245757385,112913,2605,226.83774,2.46958
minilm,LogisticRegression,6,47,0.3040532216336085,0.9474088291746641,0.4603618727849282,112913,2605,81.7946,0.01493
minilm,KNN,6,47,0.9662698412698413,0.7477927063339731,0.8431075524778187,112913,2605,0.18487,106.06016
minilm,MLP,6,47,0.91299117882919,0.874088291746641,0.8931162973131986,112913,2605,168.85006,0.42015
minilm,CatBoost,6,47,0.8799725651577504,0.9850287907869482,0.9295417496830284,112913,2605,62.47259,0.13517
minilm,XGBoost,6,47,0.9703618167821401,0.9677543186180422,0.9690563136651932,112913,2605,15.17763,0.38004
roberta,RandomForest,6,47,0.993521517815826,0.8241842610364684,0.9009651699538397,112913,2605,228.97705,2.50188
roberta,LogisticRegression,6,47,0.30394088669950736,0.9474088291746641,0.4602331002331002,112913,2605,82.10968,0.01494
roberta,KNN,6,47,0.9662698412698413,0.7477927063339731,0.8431075524778187,112913,2605,0.18262,105.90875
roberta,MLP,6,47,0.9086687306501547,0.9013435700575816,0.9049913278088264,112913,2605,132.69652,0.42157
roberta,CatBoost,6,47,0.8821710752318791,0.9857965451055662,0.9311094996374184,112913,2605,61.6826,0.19636
roberta,XGBoost,6,47,0.9703618167821401,0.9677543186180422,0.9690563136651932,112913,2605,15.10869,0.38215
albert,RandomForest,7,48,0.9921186833565137,0.8214971209213052,0.8987820243595128,112913,2605,222.57222,2.47396
albert,LogisticRegression,7,48,0.29932465026531596,0.9527831094049904,0.45553822152886114,112913,2605,75.11516,0.01526
albert,KNN,7,48,0.9714142427281846,0.7435700575815739,0.842357034137856,112913,2605,0.18701,106.18421
albert,MLP,7,48,0.8821376281112738,0.9251439539347409,0.9031290987446131,112913,2605,126.8182,0.11021
albert,CatBoost,7,48,0.8795470144131777,0.9838771593090211,0.9287914477260373,112913,2605,63.7757,0.1388
albert,XGBoost,7,48,0.959392789373814,0.9704414587332054,0.9648854961832061,112913,2605,15.36112,0.38414
bart,RandomForest,7,48,0.9921186833565137,0.8214971209213052,0.8987820243595128,112913,2605,221.07368,2.43632
bart,LogisticRegression,7,48,0.29932465026531596,0.9527831094049904,0.45553822152886114,112913,2605,74.01194,0.0156
bart,KNN,7,48,0.9714142427281846,0.7435700575815739,0.842357034137856,112913,2605,0.18877,105.87514
bart,MLP,7,48,0.8821376281112738,0.9251439539347409,0.9031290987446131,112913,2605,126.4903,0.11167
bart,CatBoost,7,48,0.8795470144131777,0.9838771593090211,0.9287914477260373,112913,2605,62.58606,0.13069
bart,XGBoost,7,48,0.959392789373814,0.9704414587332054,0.9648854961832061,112913,2605,15.60186,0.37667
bert,RandomForest,7,48,0.9921186833565137,0.8214971209213052,0.8987820243595128,112913,2605,220.79302,2.44575
bert,LogisticRegression,7,48,0.29932465026531596,0.9527831094049904,0.45553822152886114,112913,2605,74.96563,0.01908
bert,KNN,7,48,0.9714142427281846,0.7435700575815739,0.842357034137856,112913,2605,0.18939,105.9645
bert,MLP,7,48,0.8821376281112738,0.9251439539347409,0.9031290987446131,112913,2605,127.5284,0.11033
bert,CatBoost,7,48,0.8795470144131777,0.9838771593090211,0.9287914477260373,112913,2605,63.6288,0.14295
bert,XGBoost,7,48,0.959392789373814,0.9704414587332054,0.9648854961832061,112913,2605,15.4449,0.38359
distilbert,RandomForest,7,48,0.9921186833565137,0.8214971209213052,0.8987820243595128,112913,2605,220.78303,2.40067
distilbert,LogisticRegression,7,48,0.29932465026531596,0.9527831094049904,0.45553822152886114,112913,2605,74.28767,0.01488
distilbert,KNN,7,48,0.9714142427281846,0.7435700575815739,0.842357034137856,112913,2605,0.1833,104.68991
distilbert,MLP,7,48,0.8821376281112738,0.9251439539347409,0.9031290987446131,112913,2605,126.91404,0.11015
distilbert,CatBoost,7,48,0.8795470144131777,0.9838771593090211,0.9287914477260373,112913,2605,62.48238,0.14558
distilbert,XGBoost,7,48,0.959392789373814,0.9704414587332054,0.9648854961832061,112913,2605,15.45521,0.37984
minilm,RandomForest,7,48,0.9916782246879334,0.8234165067178503,0.899748322147651,112913,2605,224.31894,2.75381
minilm,LogisticRegression,7,48,0.306318512132036,0.9547024952015355,0.4638194703468855,112913,2605,108.75163,0.01497
minilm,KNN,7,48,0.9714142427281846,0.7435700575815739,0.842357034137856,112913,2605,0.18474,105.99308
minilm,MLP,7,48,0.9068702290076336,0.9120921305182341,0.9094736842105263,112913,2605,130.63243,0.1332
minilm,CatBoost,7,48,0.8488756613756614,0.9854126679462571,0.9120625333096465,112913,2605,62.30254,0.17545
