embedding_model,classifier,repeat,seed,category,precision,recall,f1,nb_test,nb_0,nb_1
distilbert,CatBoost,1,42,Wikidata,0.25,0.7142857142857143,0.37037037037037035,587,580,7
distilbert,XGBoost,1,42,ChEMBL,0.9622950819672131,0.9607201309328969,0.9615069615069615,16851,16240,611
distilbert,XGBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
distilbert,XGBoost,1,42,OpenData,0.9803206997084548,0.9831871345029239,0.9817518248175182,82737,81369,1368
distilbert,XGBoost,1,42,TPC-DI,0.9435483870967742,0.9701492537313433,0.9566639411283728,15268,14665,603
distilbert,XGBoost,1,42,Wikidata,0.5,0.7142857142857143,0.5882352941176471,587,580,7
minilm,RandomForest,1,42,ChEMBL,1.0,0.7725040916530278,0.8716528162511542,16851,16240,611
minilm,RandomForest,1,42,Magellan,1.0,1.0,1.0,75,59,16
minilm,RandomForest,1,42,OpenData,0.9975708502024292,0.9005847953216374,0.9466000768344218,82737,81369,1368
minilm,RandomForest,1,42,TPC-DI,0.9933920704845814,0.7479270315091211,0.8533585619678334,15268,14665,603
minilm,RandomForest,1,42,Wikidata,0.5,0.2857142857142857,0.36363636363636365,587,580,7
minilm,LogisticRegression,1,42,ChEMBL,0.17676296986641815,0.9312602291325696,0.29712793733681464,16851,16240,611
minilm,LogisticRegression,1,42,Magellan,0.5161290322580645,1.0,0.6808510638297872,75,59,16
minilm,LogisticRegression,1,42,OpenData,0.4024316109422492,0.9678362573099415,0.5684843280377845,82737,81369,1368
minilm,LogisticRegression,1,42,TPC-DI,0.30692520775623267,0.9187396351575456,0.4601328903654485,15268,14665,603
minilm,LogisticRegression,1,42,Wikidata,0.0958904109589041,1.0,0.175,587,580,7
minilm,KNN,1,42,ChEMBL,0.9833729216152018,0.6775777414075287,0.8023255813953488,16851,16240,611
minilm,KNN,1,42,Magellan,1.0,1.0,1.0,75,59,16
minilm,KNN,1,42,OpenData,0.9854700854700855,0.8428362573099415,0.9085894405043341,82737,81369,1368
minilm,KNN,1,42,TPC-DI,0.9164556962025316,0.6003316749585407,0.7254509018036072,15268,14665,603
minilm,KNN,1,42,Wikidata,0.375,0.42857142857142855,0.4,587,580,7
minilm,MLP,1,42,ChEMBL,0.8675721561969439,0.8363338788870703,0.8516666666666667,16851,16240,611
minilm,MLP,1,42,Magellan,1.0,1.0,1.0,75,59,16
minilm,MLP,1,42,OpenData,0.9250535331905781,0.9473684210526315,0.9360780065005417,82737,81369,1368
minilm,MLP,1,42,TPC-DI,0.8872727272727273,0.8092868988391376,0.8464874241110147,15268,14665,603
minilm,MLP,1,42,Wikidata,0.42857142857142855,0.8571428571428571,0.5714285714285714,587,580,7
minilm,CatBoost,1,42,ChEMBL,0.8266850068775791,0.983633387888707,0.898355754857997,16851,16240,611
minilm,CatBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
minilm,CatBoost,1,42,OpenData,0.8902677988242979,0.9963450292397661,0.9403242497412901,82737,81369,1368
minilm,CatBoost,1,42,TPC-DI,0.8461538461538461,0.9850746268656716,0.9103448275862069,15268,14665,603
minilm,CatBoost,1,42,Wikidata,0.23809523809523808,0.7142857142857143,0.35714285714285715,587,580,7
minilm,XGBoost,1,42,ChEMBL,0.9544715447154472,0.9607201309328969,0.9575856443719413,16851,16240,611
