benchmark,scenario,dataset,source_table,target_table,ncols_src,ncols_tgt,nrows_src,nrows_tgt,nmatches,method,runtime,mrr,All_Precision,All_F1Score,All_Recall,All_PrecisionTop10Percent,All_RecallAtSizeofGroundTruth,One2One_Precision,One2One_F1Score,One2One_Recall,One2One_PrecisionTop10Percent,One2One_RecallAtSizeofGroundTruth,type
valentine,,OpenData,miller2_vertical_50_ac1_ev_source.csv,miller2_vertical_50_ac1_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,MagnetoFT,11.788679599761965,0.98,0.631578947368421,0.7619047619047619,0.96,1.0,0.84,0.95,0.8444444444444444,0.76,1.0,0.84,Joinable
valentine,,OpenData,miller2_vertical_50_ac1_ev_source.csv,miller2_vertical_50_ac1_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,MagnetoFTGPT,284.54740285873413,1.0,0.8333333333333334,0.9090909090909092,1.0,1.0,0.84,0.8620689655172413,0.925925925925926,1.0,1.0,0.96,Joinable
valentine,,OpenData,miller2_vertical_50_ac5_ev_source.csv,miller2_vertical_50_ac5_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,Magneto,12.402637243270874,0.7235448603683896,0.4473684210526316,0.5396825396825397,0.68,1.0,0.64,0.75,0.6666666666666665,0.6,1.0,0.64,Joinable
valentine,,OpenData,miller2_vertical_50_ac5_ev_source.csv,miller2_vertical_50_ac5_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,MagnetoGPT,337.42548418045044,0.899047619047619,0.7333333333333333,0.8,0.88,1.0,0.72,0.7586206896551724,0.8148148148148148,0.88,1.0,0.8,Joinable
valentine,,OpenData,miller2_vertical_50_ac5_ev_source.csv,miller2_vertical_50_ac5_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,MagnetoFT,11.824660062789915,0.725547619047619,0.4473684210526316,0.5396825396825397,0.68,1.0,0.68,0.8,0.7111111111111111,0.64,1.0,0.68,Joinable
valentine,,OpenData,miller2_vertical_50_ac5_ev_source.csv,miller2_vertical_50_ac5_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,MagnetoFTGPT,366.42941093444824,0.8490476190476192,0.6,0.6545454545454547,0.72,1.0,0.6,0.6206896551724138,0.6666666666666666,0.72,1.0,0.68,Joinable
valentine,,OpenData,miller2_vertical_70_ac2_ev_source.csv,miller2_vertical_70_ac2_ev_target.csv,43.0,43.0,23254.0,23254.0,35.0,Magneto,13.227185010910034,0.8815037593984963,0.6744186046511628,0.7435897435897435,0.8285714285714286,1.0,0.8285714285714286,0.9565217391304348,0.7586206896551724,0.6285714285714286,1.0,0.8285714285714286,Joinable
valentine,,OpenData,miller2_vertical_70_ac2_ev_source.csv,miller2_vertical_70_ac2_ev_target.csv,43.0,43.0,23254.0,23254.0,35.0,MagnetoGPT,256.4557249546051,0.9571428571428572,0.8611111111111112,0.8732394366197184,0.8857142857142857,1.0,0.7714285714285715,0.8857142857142857,0.8857142857142857,0.8857142857142857,1.0,0.8857142857142857,Joinable
valentine,,OpenData,miller2_vertical_70_ac2_ev_source.csv,miller2_vertical_70_ac2_ev_target.csv,43.0,43.0,23254.0,23254.0,35.0,MagnetoFT,12.569734811782835,0.9442857142857142,0.7441860465116279,0.8205128205128205,0.9142857142857144,1.0,0.9142857142857144,0.9130434782608696,0.7241379310344828,0.6,1.0,0.9142857142857144,Joinable
valentine,,OpenData,miller2_vertical_70_ac2_ev_source.csv,miller2_vertical_70_ac2_ev_target.csv,43.0,43.0,23254.0,23254.0,35.0,MagnetoFTGPT,274.2542073726654,0.9857142857142858,0.945945945945946,0.9722222222222222,1.0,1.0,0.7428571428571429,0.9722222222222222,0.9859154929577464,1.0,1.0,1.0,Joinable
valentine,,OpenData,miller2_vertical_50_ec_ev_source.csv,miller2_vertical_50_ec_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,Magneto,11.39259433746338,0.96,0.6052631578947368,0.7301587301587301,0.92,1.0,0.92,0.7419354838709677,0.8214285714285714,0.92,1.0,0.92,Joinable
valentine,,OpenData,miller2_vertical_50_ec_ev_source.csv,miller2_vertical_50_ec_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,MagnetoGPT,188.28657221794128,1.0,0.7575757575757576,0.8620689655172413,1.0,1.0,1.0,0.8333333333333334,0.9090909090909092,1.0,1.0,1.0,Joinable
valentine,,OpenData,miller2_vertical_50_ec_ev_source.csv,miller2_vertical_50_ec_ev_target.csv,38.0,38.0,23254.0,23254.0,25.0,MagnetoFT,11.32525396347046,1.0,0.6578947368421053,0.7936507936507937,1.0,1.0,1.0,0.78125,0.8771929824561403,1.0,1.0,1.0,Joinable
