embedding_model,classifier,repeat,seed,category,precision,recall,f1,Recall@GS,MRR,nb_test,nb_0,nb_1,n_features_used
bert,XGBoost,3,44,Magellan,1.0,1.0,1.0,1.0,1.0,36,30,6,80
bert,XGBoost,3,44,OpenData,0.9549339549339549,0.96015625,0.9575379820802493,0.9677763098554095,1.0,79884,78604,1280,80
bert,XGBoost,3,44,TPC-DI,0.9667221297836939,0.9731993299832495,0.9699499165275459,0.980381430164039,1.0,15254,14657,597,80
bert,XGBoost,3,44,Wikidata,0.85,0.68,0.7555555555555555,0.75,0.7824074074074074,569,544,25,80
distilbert,XGBoost,3,44,ChEMBL,0.935672514619883,0.9495548961424333,0.9425625920471281,0.9474800944938156,1.0,17607,16933,674,80
distilbert,XGBoost,3,44,Magellan,1.0,1.0,1.0,1.0,1.0,36,30,6,80
distilbert,XGBoost,3,44,OpenData,0.9549339549339549,0.96015625,0.9575379820802493,0.9677763098554095,1.0,79884,78604,1280,80
distilbert,XGBoost,3,44,TPC-DI,0.9667221297836939,0.9731993299832495,0.9699499165275459,0.980381430164039,1.0,15254,14657,597,80
distilbert,XGBoost,3,44,Wikidata,0.85,0.68,0.7555555555555555,0.75,0.7824074074074074,569,544,25,80
minilm,XGBoost,3,44,ChEMBL,0.934402332361516,0.9510385756676558,0.9426470588235294,0.9466749415147496,1.0,17607,16933,674,80
minilm,XGBoost,3,44,Magellan,1.0,1.0,1.0,1.0,1.0,36,30,6,80
minilm,XGBoost,3,44,OpenData,0.9654631083202512,0.9609375,0.9631949882537196,0.9713594904251742,1.0,79884,78604,1280,80
minilm,XGBoost,3,44,TPC-DI,0.9668874172185431,0.9782244556113903,0.9725228975853455,0.9820048067874155,1.0,15254,14657,597,80
minilm,XGBoost,3,44,Wikidata,0.8571428571428571,0.72,0.782608695652174,0.75,0.7867222222222222,569,544,25,80
roberta,XGBoost,3,44,ChEMBL,0.935672514619883,0.9495548961424333,0.9425625920471281,0.9474800944938156,1.0,17607,16933,674,80
roberta,XGBoost,3,44,Magellan,1.0,1.0,1.0,1.0,1.0,36,30,6,80
roberta,XGBoost,3,44,OpenData,0.9549339549339549,0.96015625,0.9575379820802493,0.9677763098554095,1.0,79884,78604,1280,80
roberta,XGBoost,3,44,TPC-DI,0.9667221297836939,0.9731993299832495,0.9699499165275459,0.980381430164039,1.0,15254,14657,597,80
roberta,XGBoost,3,44,Wikidata,0.85,0.68,0.7555555555555555,0.75,0.7824074074074074,569,544,25,80
albert,XGBoost,4,45,ChEMBL,0.9476923076923077,0.946236559139785,0.9469638739431206,0.953670795580881,1.0,17757,17106,651,80
albert,XGBoost,4,45,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
albert,XGBoost,4,45,OpenData,0.9760765550239234,0.9807692307692307,0.9784172661870504,0.9813355232532408,1.0,76454,75206,1248,80
albert,XGBoost,4,45,TPC-DI,0.959114139693356,0.9574829931972789,0.9582978723404255,0.9707386094438022,1.0,15494,14906,588,80
albert,XGBoost,4,45,Wikidata,0.6666666666666666,0.5,0.5714285714285714,0.75,0.44696969696969696,196,188,8,80
bart,XGBoost,4,45,ChEMBL,0.9476923076923077,0.946236559139785,0.9469638739431206,0.953670795580881,1.0,17757,17106,651,80
bart,XGBoost,4,45,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
bart,XGBoost,4,45,OpenData,0.9760765550239234,0.9807692307692307,0.9784172661870504,0.9813355232532408,1.0,76454,75206,1248,80
bart,XGBoost,4,45,TPC-DI,0.959114139693356,0.9574829931972789,0.9582978723404255,0.9707386094438022,1.0,15494,14906,588,80
bart,XGBoost,4,45,Wikidata,0.6666666666666666,0.5,0.5714285714285714,0.75,0.44696969696969696,196,188,8,80
bert,XGBoost,4,45,ChEMBL,0.9476923076923077,0.946236559139785,0.9469638739431206,0.953670795580881,1.0,17757,17106,651,80
bert,XGBoost,4,45,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
bert,XGBoost,4,45,OpenData,0.9760765550239234,0.9807692307692307,0.9784172661870504,0.9813355232532408,1.0,76454,75206,1248,80
bert,XGBoost,4,45,TPC-DI,0.959114139693356,0.9574829931972789,0.9582978723404255,0.9707386094438022,1.0,15494,14906,588,80
bert,XGBoost,4,45,Wikidata,0.6666666666666666,0.5,0.5714285714285714,0.75,0.44696969696969696,196,188,8,80
distilbert,XGBoost,4,45,ChEMBL,0.9476923076923077,0.946236559139785,0.9469638739431206,0.953670795580881,1.0,17757,17106,651,80
distilbert,XGBoost,4,45,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
distilbert,XGBoost,4,45,OpenData,0.9760765550239234,0.9807692307692307,0.9784172661870504,0.9813355232532408,1.0,76454,75206,1248,80
distilbert,XGBoost,4,45,TPC-DI,0.959114139693356,0.9574829931972789,0.9582978723404255,0.9707386094438022,1.0,15494,14906,588,80
distilbert,XGBoost,4,45,Wikidata,0.6666666666666666,0.5,0.5714285714285714,0.75,0.44696969696969696,196,188,8,80
minilm,XGBoost,4,45,ChEMBL,0.9490740740740741,0.9447004608294931,0.9468822170900693,0.9511416914693421,1.0,17757,17106,651,80
minilm,XGBoost,4,45,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
minilm,XGBoost,4,45,OpenData,0.9753184713375797,0.9815705128205128,0.9784345047923323,0.9821525167172932,1.0,76454,75206,1248,80
minilm,XGBoost,4,45,TPC-DI,0.9675767918088737,0.9642857142857143,0.9659284497444633,0.9678419951443668,1.0,15494,14906,588,80
minilm,XGBoost,4,45,Wikidata,0.8333333333333334,0.625,0.7142857142857143,0.75,0.45,196,188,8,80
roberta,XGBoost,4,45,ChEMBL,0.9476923076923077,0.946236559139785,0.9469638739431206,0.953670795580881,1.0,17757,17106,651,80
roberta,XGBoost,4,45,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
roberta,XGBoost,4,45,OpenData,0.9760765550239234,0.9807692307692307,0.9784172661870504,0.9813355232532408,1.0,76454,75206,1248,80
roberta,XGBoost,4,45,TPC-DI,0.959114139693356,0.9574829931972789,0.9582978723404255,0.9707386094438022,1.0,15494,14906,588,80
roberta,XGBoost,4,45,Wikidata,0.6666666666666666,0.5,0.5714285714285714,0.75,0.44696969696969696,196,188,8,80
albert,XGBoost,5,46,ChEMBL,0.9436363636363636,0.8856655290102389,0.9137323943661971,0.9028272276362364,1.0,16094,15508,586,80
albert,XGBoost,5,46,Magellan,1.0,1.0,1.0,1.0,1.0,142,122,20,80
albert,XGBoost,5,46,OpenData,0.9646017699115044,0.9738831615120275,0.96922024623803,0.9759396189335774,1.0,87053,85598,1455,80
albert,XGBoost,5,46,TPC-DI,0.9526143790849673,0.9372990353697749,0.9448946515397083,0.9568484417754064,1.0,15950,15328,622,80
albert,XGBoost,5,46,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
bart,XGBoost,5,46,ChEMBL,0.9436363636363636,0.8856655290102389,0.9137323943661971,0.9028272276362364,1.0,16094,15508,586,80
bart,XGBoost,5,46,Magellan,1.0,1.0,1.0,1.0,1.0,142,122,20,80
bart,XGBoost,5,46,OpenData,0.9646017699115044,0.9738831615120275,0.96922024623803,0.9759396189335774,1.0,87053,85598,1455,80
bart,XGBoost,5,46,TPC-DI,0.9526143790849673,0.9372990353697749,0.9448946515397083,0.9568484417754064,1.0,15950,15328,622,80
bart,XGBoost,5,46,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
bert,XGBoost,5,46,ChEMBL,0.9436363636363636,0.8856655290102389,0.9137323943661971,0.9028272276362364,1.0,16094,15508,586,80
bert,XGBoost,5,46,Magellan,1.0,1.0,1.0,1.0,1.0,142,122,20,80
bert,XGBoost,5,46,OpenData,0.9646017699115044,0.9738831615120275,0.96922024623803,0.9759396189335774,1.0,87053,85598,1455,80
bert,XGBoost,5,46,TPC-DI,0.9526143790849673,0.9372990353697749,0.9448946515397083,0.9568484417754064,1.0,15950,15328,622,80
bert,XGBoost,5,46,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
distilbert,XGBoost,5,46,ChEMBL,0.9436363636363636,0.8856655290102389,0.9137323943661971,0.9028272276362364,1.0,16094,15508,586,80
distilbert,XGBoost,5,46,Magellan,1.0,1.0,1.0,1.0,1.0,142,122,20,80
distilbert,XGBoost,5,46,OpenData,0.9646017699115044,0.9738831615120275,0.96922024623803,0.9759396189335774,1.0,87053,85598,1455,80
distilbert,XGBoost,5,46,TPC-DI,0.9526143790849673,0.9372990353697749,0.9448946515397083,0.9568484417754064,1.0,15950,15328,622,80
distilbert,XGBoost,5,46,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
minilm,XGBoost,5,46,ChEMBL,0.9420289855072463,0.8873720136518771,0.9138840070298769,0.9109829156785025,1.0,16094,15508,586,80
minilm,XGBoost,5,46,Magellan,1.0,1.0,1.0,1.0,1.0,142,122,20,80
minilm,XGBoost,5,46,OpenData,0.9665071770334929,0.9718213058419244,0.9691569568197396,0.9745529600516623,1.0,87053,85598,1455,80
minilm,XGBoost,5,46,TPC-DI,0.955810147299509,0.9389067524115756,0.9472830494728305,0.9550475805995453,1.0,15950,15328,622,80
minilm,XGBoost,5,46,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
roberta,XGBoost,5,46,ChEMBL,0.9436363636363636,0.8856655290102389,0.9137323943661971,0.9028272276362364,1.0,16094,15508,586,80
roberta,XGBoost,5,46,Magellan,1.0,1.0,1.0,1.0,1.0,142,122,20,80
roberta,XGBoost,5,46,OpenData,0.9646017699115044,0.9738831615120275,0.96922024623803,0.9759396189335774,1.0,87053,85598,1455,80
roberta,XGBoost,5,46,TPC-DI,0.9526143790849673,0.9372990353697749,0.9448946515397083,0.9568484417754064,1.0,15950,15328,622,80
roberta,XGBoost,5,46,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
albert,XGBoost,6,47,ChEMBL,0.9311475409836065,0.9594594594594594,0.9450915141430949,0.9534980915604735,1.0,15893,15301,592,80
albert,XGBoost,6,47,Magellan,1.0,1.0,1.0,1.0,1.0,25,20,5,80
albert,XGBoost,6,47,OpenData,0.9727520435967303,0.9909784871616932,0.9817806806462702,0.9879595691624308,1.0,86447,85006,1441,80
albert,XGBoost,6,47,TPC-DI,0.9516616314199395,0.9603658536585366,0.9559939301972686,0.9613199385468445,1.0,16908,16252,656,80
albert,XGBoost,6,47,Wikidata,0.6,0.375,0.46153846153846156,0.75,0.44642857142857145,196,188,8,80
bart,XGBoost,6,47,ChEMBL,0.9311475409836065,0.9594594594594594,0.9450915141430949,0.9534980915604735,1.0,15893,15301,592,80
bart,XGBoost,6,47,Magellan,1.0,1.0,1.0,1.0,1.0,25,20,5,80
bart,XGBoost,6,47,OpenData,0.9727520435967303,0.9909784871616932,0.9817806806462702,0.9879595691624308,1.0,86447,85006,1441,80
bart,XGBoost,6,47,TPC-DI,0.9516616314199395,0.9603658536585366,0.9559939301972686,0.9613199385468445,1.0,16908,16252,656,80
bart,XGBoost,6,47,Wikidata,0.6,0.375,0.46153846153846156,0.75,0.44642857142857145,196,188,8,80
bert,XGBoost,6,47,ChEMBL,0.9311475409836065,0.9594594594594594,0.9450915141430949,0.9534980915604735,1.0,15893,15301,592,80
bert,XGBoost,6,47,Magellan,1.0,1.0,1.0,1.0,1.0,25,20,5,80
bert,XGBoost,6,47,OpenData,0.9727520435967303,0.9909784871616932,0.9817806806462702,0.9879595691624308,1.0,86447,85006,1441,80
bert,XGBoost,6,47,TPC-DI,0.9516616314199395,0.9603658536585366,0.9559939301972686,0.9613199385468445,1.0,16908,16252,656,80
bert,XGBoost,6,47,Wikidata,0.6,0.375,0.46153846153846156,0.75,0.44642857142857145,196,188,8,80
distilbert,XGBoost,6,47,ChEMBL,0.9311475409836065,0.9594594594594594,0.9450915141430949,0.9534980915604735,1.0,15893,15301,592,80
distilbert,XGBoost,6,47,Magellan,1.0,1.0,1.0,1.0,1.0,25,20,5,80
distilbert,XGBoost,6,47,OpenData,0.9727520435967303,0.9909784871616932,0.9817806806462702,0.9879595691624308,1.0,86447,85006,1441,80
distilbert,XGBoost,6,47,TPC-DI,0.9516616314199395,0.9603658536585366,0.9559939301972686,0.9613199385468445,1.0,16908,16252,656,80
distilbert,XGBoost,6,47,Wikidata,0.6,0.375,0.46153846153846156,0.75,0.44642857142857145,196,188,8,80
minilm,XGBoost,6,47,ChEMBL,0.9371900826446281,0.9577702702702703,0.9473684210526315,0.9609618596764153,1.0,15893,15301,592,80
minilm,XGBoost,6,47,Magellan,1.0,1.0,1.0,1.0,1.0,25,20,5,80
minilm,XGBoost,6,47,OpenData,0.9720136518771331,0.9882026370575989,0.9800412938747419,0.9864723572387861,1.0,86447,85006,1441,80
minilm,XGBoost,6,47,TPC-DI,0.9559939301972686,0.9603658536585366,0.9581749049429658,0.966921937985516,1.0,16908,16252,656,80
minilm,XGBoost,6,47,Wikidata,0.6,0.375,0.46153846153846156,0.75,0.44472789115646255,196,188,8,80
roberta,XGBoost,6,47,ChEMBL,0.9311475409836065,0.9594594594594594,0.9450915141430949,0.9534980915604735,1.0,15893,15301,592,80
roberta,XGBoost,6,47,Magellan,1.0,1.0,1.0,1.0,1.0,25,20,5,80
roberta,XGBoost,6,47,OpenData,0.9727520435967303,0.9909784871616932,0.9817806806462702,0.9879595691624308,1.0,86447,85006,1441,80
roberta,XGBoost,6,47,TPC-DI,0.9516616314199395,0.9603658536585366,0.9559939301972686,0.9613199385468445,1.0,16908,16252,656,80
roberta,XGBoost,6,47,Wikidata,0.6,0.375,0.46153846153846156,0.75,0.44642857142857145,196,188,8,80
albert,XGBoost,7,48,ChEMBL,0.9519071310116086,0.9566666666666667,0.9542809642560266,0.9589886963138379,1.0,16197,15597,600,80
albert,XGBoost,7,48,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
albert,XGBoost,7,48,OpenData,0.9716908951798011,0.9694656488549618,0.9705769965609476,0.9746662691291846,1.0,79123,77813,1310,80
albert,XGBoost,7,48,TPC-DI,0.9577677224736049,0.9621212121212122,0.9599395313681028,0.9653591202278506,1.0,17050,16390,660,80
albert,XGBoost,7,48,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
bart,XGBoost,7,48,ChEMBL,0.9519071310116086,0.9566666666666667,0.9542809642560266,0.9589886963138379,1.0,16197,15597,600,80
bart,XGBoost,7,48,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
bart,XGBoost,7,48,OpenData,0.9716908951798011,0.9694656488549618,0.9705769965609476,0.9746662691291846,1.0,79123,77813,1310,80
bart,XGBoost,7,48,TPC-DI,0.9577677224736049,0.9621212121212122,0.9599395313681028,0.9653591202278506,1.0,17050,16390,660,80
bart,XGBoost,7,48,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
bert,XGBoost,7,48,ChEMBL,0.9519071310116086,0.9566666666666667,0.9542809642560266,0.9589886963138379,1.0,16197,15597,600,80
bert,XGBoost,7,48,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
bert,XGBoost,7,48,OpenData,0.9716908951798011,0.9694656488549618,0.9705769965609476,0.9746662691291846,1.0,79123,77813,1310,80
bert,XGBoost,7,48,TPC-DI,0.9577677224736049,0.9621212121212122,0.9599395313681028,0.9653591202278506,1.0,17050,16390,660,80
bert,XGBoost,7,48,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
distilbert,XGBoost,7,48,ChEMBL,0.9519071310116086,0.9566666666666667,0.9542809642560266,0.9589886963138379,1.0,16197,15597,600,80
distilbert,XGBoost,7,48,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
distilbert,XGBoost,7,48,OpenData,0.9716908951798011,0.9694656488549618,0.9705769965609476,0.9746662691291846,1.0,79123,77813,1310,80
distilbert,XGBoost,7,48,TPC-DI,0.9577677224736049,0.9621212121212122,0.9599395313681028,0.9653591202278506,1.0,17050,16390,660,80
distilbert,XGBoost,7,48,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
minilm,XGBoost,7,48,ChEMBL,0.9519071310116086,0.9566666666666667,0.9542809642560266,0.9589886963138379,1.0,16197,15597,600,80
minilm,XGBoost,7,48,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
minilm,XGBoost,7,48,OpenData,0.9716908951798011,0.9694656488549618,0.9705769965609476,0.9746662691291846,1.0,79123,77813,1310,80
minilm,XGBoost,7,48,TPC-DI,0.9577677224736049,0.9621212121212122,0.9599395313681028,0.9653591202278506,1.0,17050,16390,660,80
minilm,XGBoost,7,48,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
roberta,XGBoost,7,48,ChEMBL,0.9519071310116086,0.9566666666666667,0.9542809642560266,0.9589886963138379,1.0,16197,15597,600,80
roberta,XGBoost,7,48,Magellan,1.0,1.0,1.0,1.0,1.0,49,42,7,80
roberta,XGBoost,7,48,OpenData,0.9716908951798011,0.9694656488549618,0.9705769965609476,0.9746662691291846,1.0,79123,77813,1310,80
roberta,XGBoost,7,48,TPC-DI,0.9577677224736049,0.9621212121212122,0.9599395313681028,0.9653591202278506,1.0,17050,16390,660,80
roberta,XGBoost,7,48,Wikidata,0.0,0.0,0.0,,0.0,934,934,0,80
albert,XGBoost,8,49,ChEMBL,0.9590163934426229,0.975,0.9669421487603306,0.9764508984823826,1.0,15749,15149,600,80
albert,XGBoost,8,49,Magellan,1.0,1.0,1.0,1.0,1.0,74,62,12,80
albert,XGBoost,8,49,OpenData,0.9740634005763689,0.9811320754716981,0.9775849602313811,0.9870534903125628,1.0,83345,81967,1378,80
albert,XGBoost,8,49,TPC-DI,0.967409948542024,0.9447236180904522,0.9559322033898305,0.9616678186880587,1.0,15792,15195,597,80
albert,XGBoost,8,49,Wikidata,0.9090909090909091,0.37037037037037035,0.5263157894736842,0.631578947368421,0.6659463601532567,596,569,27,80
bart,XGBoost,8,49,ChEMBL,0.9590163934426229,0.975,0.9669421487603306,0.9764508984823826,1.0,15749,15149,600,80
bart,XGBoost,8,49,Magellan,1.0,1.0,1.0,1.0,1.0,74,62,12,80
bart,XGBoost,8,49,OpenData,0.9740634005763689,0.9811320754716981,0.9775849602313811,0.9870534903125628,1.0,83345,81967,1378,80
bart,XGBoost,8,49,TPC-DI,0.967409948542024,0.9447236180904522,0.9559322033898305,0.9616678186880587,1.0,15792,15195,597,80
